feature,importance
ret_5d,0.12040396168723973
bb_pctb,0.10772969589424375
price_to_ma20,0.09719273102090444
ret_10d,0.08075669603842806
ret_1d,0.07489634945999883
rsi14,0.07030558155174726
macd_hist,0.06399361992740625
bb_width,0.061702037482655424
macd,0.06115580236290502
realized_vol_10d,0.060046833580457586
macd_signal,0.054086977933485644
price_to_ma50,0.053861235956410264
volume_ratio,0.0485308840855369
ma20_to_ma50,0.04533759301858058
